Cluster,Occupation,Skills
Architecture and Engineering,Petroleum Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Economics and Accounting — Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations']"
Architecture and Engineering,Photonics Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations']"
Architecture and Engineering,Photonics Technicians,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations']"
Architecture and Engineering,Radio Frequency Identification Device Specialists,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations']"
Architecture and Engineering,Robotics Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
Architecture and Engineering,Robotics Technicians,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations']"
Architecture and Engineering,Solar Energy Systems Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations']"
Architecture and Engineering,Surveying and Mapping Technicians,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations']"
Architecture and Engineering,Surveyors,"['Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations']"
Architecture and Engineering,Transportation Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Transportation — Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
Architecture and Engineering,Validation Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
Architecture and Engineering,Water/Wastewater Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Economics and Accounting — Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.\nRelated occupations']"
Architecture and Engineering,Wind Energy Engineers,"['Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Actors,"['Fine Arts — Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'Sociology and Anthropology — Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.\nRelated occupations', 'Psychology — Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Art Directors,"['Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Fine Arts — Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media","Artists and Related Workers, All Other",[]
"Arts, Design, Entertainment, Sports, and Media",Athletes and Sports Competitors,"['Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Audio and Video Technicians,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Fine Arts — Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Broadcast Announcers and Radio Disc Jockeys,"['Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Broadcast Technicians,"['Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media","Camera Operators, Television, Video, and Film","['English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Choreographers,"['Fine Arts — Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Coaches and Scouts,"['Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Psychology — Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations']"
"Arts, Design, Entertainment, Sports, and Media",Commercial and Industrial Designers,"['Design — Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations']"
